"TIME","CH2","CH3","CH4"
-1.7740e-02,-0.152,0.0012,0.88
-1.7736e-02,-0.16,0.0008,0.86
-1.7732e-02,-0.156,0.0008,0.88
-1.7728e-02,-0.148,0.0002,0.88
-1.7724e-02,-0.16,0.0012,0.92
-1.7720e-02,-0.156,0.0008,0.84
-1.7716e-02,-0.164,-2.84217e-18,0.88
-1.7712e-02,-0.16,-0.0004,0.84
-1.7708e-02,-0.156,0.0008,0.92
-1.7704e-02,-0.16,0.0006,0.92
-1.7700e-02,-0.152,0.0002,0.86
-1.7696e-02,-0.16,0.0014,0.88
-1.7692e-02,-0.156,0.0008,0.86
-1.7688e-02,-0.156,0.0008,0.88
-1.7684e-02,-0.152,0.0008,0.82
-1.7680e-02,-0.152,0.0008,0.94
-1.7676e-02,-0.152,0.0006,0.86
-1.7672e-02,-0.152,0.0016,0.86
-1.7668e-02,-0.152,0.0006,0.92
-1.7664e-02,-0.16,0.0004,0.82
-1.7660e-02,-0.152,0.0008,0.84
-1.7656e-02,-0.156,0.0004,0.92
-1.7652e-02,-0.16,0.0002,0.9
-1.7648e-02,-0.156,0.0004,0.82
-1.7644e-02,-0.16,0.0012,0.88
-1.7640e-02,-0.148,0.0006,0.84
-1.7636e-02,-0.156,0.0014,0.88
-1.7632e-02,-0.152,0.0014,0.9
-1.7628e-02,-0.148,0.0012,0.86
-1.7624e-02,-0.16,0.0006,0.88
-1.7620e-02,-0.152,0.0006,0.86
-1.7616e-02,-0.156,-0.0008,0.82
-1.7612e-02,-0.156,0.0004,0.82
-1.7608e-02,-0.168,0.0016,0.82
-1.7604e-02,-0.156,0.0012,0.94
-1.7600e-02,-0.16,0.001,0.9
-1.7596e-02,-0.156,0.0006,0.9
-1.7592e-02,-0.156,0.0004,0.88
-1.7588e-02,-0.152,0.0012,0.88
-1.7584e-02,-0.152,0.0008,0.86
-1.7580e-02,-0.156,0.0012,0.84
-1.7576e-02,-0.16,0.0004,0.86
-1.7572e-02,-0.168,0.0012,0.88
-1.7568e-02,-0.16,0.0006,0.88
-1.7564e-02,-0.164,-0.0004,0.88
-1.7560e-02,-0.16,0.0012,0.84
-1.7556e-02,-0.164,0.0012,0.88
-1.7552e-02,-0.156,0.0006,0.82
-1.7548e-02,-0.164,0.0014,0.88
-1.7544e-02,-0.164,0.0006,0.86
-1.7540e-02,-0.168,0.0008,0.9
-1.7536e-02,-0.156,0.001,0.88
-1.7532e-02,-0.156,0.0012,0.88
-1.7528e-02,-0.16,0.0008,0.84
-1.7524e-02,-0.156,0.0008,0.9
-1.7520e-02,-0.164,0.0008,0.88
-1.7516e-02,-0.156,0.0006,0.88
-1.7512e-02,-0.156,0.0016,0.92
-1.7508e-02,-0.152,0.001,0.88
-1.7504e-02,-0.164,0.0008,0.9
-1.7500e-02,-0.168,0.0008,0.9
-1.7496e-02,-0.16,0.0014,0.94
-1.7492e-02,-0.164,0.0012,0.88
-1.7488e-02,-0.152,0.0008,0.88
-1.7484e-02,-0.156,0.0008,0.94
-1.7480e-02,-0.164,0.0012,0.82
-1.7476e-02,-0.164,0.0018,0.82
-1.7472e-02,-0.156,0.0012,0.88
-1.7468e-02,-0.168,0.001,0.82
-1.7464e-02,-0.16,0.0006,0.84
-1.7460e-02,-0.16,0.0014,0.92
-1.7456e-02,-0.16,0.001,0.8
-1.7452e-02,-0.168,0.0006,0.9
-1.7448e-02,-0.16,0.0016,0.82
-1.7444e-02,-0.16,0.0022,0.9
-1.7440e-02,-0.16,0.0022,0.9
