"TIME","CH1","CH2"
-1.2464e-01,0.386,-0.238
-1.2462e-01,0.386,-0.242
-1.2460e-01,0.386,-0.246
-1.2458e-01,0.382,-0.234
-1.2456e-01,0.388,-0.238
-1.2454e-01,0.386,-0.242
-1.2452e-01,0.384,-0.246
-1.2450e-01,0.386,-0.232
-1.2448e-01,0.386,-0.244
-1.2446e-01,0.384,-0.242
-1.2444e-01,0.386,-0.25
-1.2442e-01,0.384,-0.24
-1.2440e-01,0.392,-0.238
-1.2438e-01,0.386,-0.238
-1.2436e-01,0.386,-0.242
-1.2434e-01,0.388,-0.238
-1.2432e-01,0.39,-0.244
-1.2430e-01,0.382,-0.246
-1.2428e-01,0.392,-0.248
-1.2426e-01,0.382,-0.244
-1.2424e-01,0.384,-0.236
-1.2422e-01,0.386,-0.24
-1.2420e-01,0.386,-0.242
-1.2418e-01,0.388,-0.242
-1.2416e-01,0.388,-0.244
-1.2414e-01,0.384,-0.238
-1.2412e-01,0.382,-0.244
-1.2410e-01,0.388,-0.24
-1.2408e-01,0.384,-0.244
-1.2406e-01,0.382,-0.242
-1.2404e-01,0.386,-0.242
-1.2402e-01,0.382,-0.246
-1.2400e-01,0.384,-0.238
-1.2398e-01,0.39,-0.238
-1.2396e-01,0.386,-0.24
-1.2394e-01,0.396,-0.246
-1.2392e-01,0.386,-0.248
-1.2390e-01,0.378,-0.244
-1.2388e-01,0.382,-0.248
-1.2386e-01,0.394,-0.25
-1.2384e-01,0.384,-0.24
-1.2382e-01,0.39,-0.242
-1.2380e-01,0.39,-0.244
-1.2378e-01,0.386,-0.242
-1.2376e-01,0.39,-0.242
-1.2374e-01,0.39,-0.252
-1.2372e-01,0.384,-0.246
-1.2370e-01,0.388,-0.24
-1.2368e-01,0.39,-0.244
-1.2366e-01,0.386,-0.238
-1.2364e-01,0.384,-0.242
-1.2362e-01,0.382,-0.244
-1.2360e-01,0.384,-0.244
-1.2358e-01,0.386,-0.244
-1.2356e-01,0.388,-0.242
-1.2354e-01,0.386,-0.248
-1.2352e-01,0.392,-0.244
-1.2350e-01,0.384,-0.242
-1.2348e-01,0.39,-0.238
-1.2346e-01,0.388,-0.246
-1.2344e-01,0.384,-0.242
-1.2342e-01,0.386,-0.246
-1.2340e-01,0.39,-0.242
-1.2338e-01,0.386,-0.244
-1.2336e-01,0.388,-0.244
-1.2334e-01,0.382,-0.244
-1.2332e-01,0.388,-0.244
-1.2330e-01,0.39,-0.244
